#Record1
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,null,11-19-1993,Valid,null,11-19-1993,null,null
officer certification,null,11-09-1995,Valid,null,11-09-1995,null,null
officer certification,null,10-28-2005,Valid,null,10-28-2005,null,null
officer certification,null,10-18-1991,Valid,null,10-18-1991,null,null
officer certification,null,8-16-2019,Valid,null,8-16-2019,null,null
officer certification,null,12-07-2007,Valid,null,12-07-2007,null,null
officer certification,null,6-27-1997,Valid,null,6-27-1997,null,null
officer certification,null,12-13-2013,Valid,null,12-13-2013,null,null
officer certification,null,4-18-2014,Valid,null,4-18-2014,null,null
officer certification,null,11-06-1998,Valid,null,11-06-1998,null,null
officer certification,null,4-02-2010,Valid,null,4-02-2010,null,null
officer certification,null,4-04-2003,Valid,null,4-04-2003,null,null
officer certification,null,12-11-2015,Valid,null,12-11-2015,null,null

#Record2
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,null,11-02-2018,Valid,null,11-02-2018,null,null
officer certification,null,12-10-2010,Valid,null,12-10-2010,null,null
officer certification,null,12-12-2003,Valid,null,12-12-2003,null,null
officer certification,null,8-19-2022,Valid,null,8-19-2022,null,null
officer certification,null,11-22-1996,Valid,null,11-22-1996,null,null
officer certification,null,12-13-2019,Valid,null,12-13-2019,null,null
officer certification,null,4-19-2019,Valid,null,4-19-2019,null,null
officer certification,null,10-30-2020,Valid,null,10-30-2020,null,null
officer certification,null,1-08-2021,Valid,null,1-08-2021,null,null
officer certification,null,8-07-2015,Valid,null,8-07-2015,null,null
officer certification,null,4-17-2020,Valid,null,4-17-2020,null,null
officer certification,null,11-09-1995,Valid,null,11-09-1995,null,null
officer certification,null,12-23-1994,Valid,null,12-23-1994,null,null
officer certification,null,4-11-2003,Valid,null,4-11-2003,null,null


#Record3
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,null,12-13-2017,Valid,null,12-13-2017,null,null
officer certification,null,9-16-2020,Valid,null,9-16-2020,null,null
officer certification,null,4-16-1999,Valid,null,4-16-1999,null,null
officer certification,null,3-23-2001,Valid,null,3-23-2001,null,null
officer certification,null,3-21-1997,Valid,null,3-21-1997,null,null
officer certification,null,12-07-2011,Valid,null,12-07-2011,null,null
officer certification,null,2-28-2014,Valid,null,2-28-2014,null,null
officer certification,null,12-16-2022,Valid,null,12-16-2022,null,null
officer certification,null,2-25-2005,Valid,null,2-25-2005,null,null
officer certification,null,12-04-2015,Valid,null,12-04-2015,null,null
officer certification,null,10-31-2008,Valid,null,10-31-2008,null,null
officer certification,null,4-22-2005,Valid,null,4-22-2005,null,null
officer certification,null,12-09-2011,Valid,null,12-09-2011,null,null

#Record4
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,null,4-18-2014,Valid,null,4-18-2014,null,null
officer certification,null,12-21-1984,Valid,null,12-21-1984,null,null
officer certification,null,9-16-2020,Valid,null,9-16-2020,null,null
officer certification,null,8-19-2022,Valid,null,8-19-2022,null,null
officer certification,null,12-04-2015,Valid,null,12-04-2015,null,null
officer certification,null,5-20-1988,Valid,null,5-20-1988,null,null
officer certification,null,4-02-2004,Valid,null,4-02-2004,null,null
officer certification,null,12-13-2002,Valid,null,12-13-2002,null,null
officer certification,null,12-10-1999,Valid,null,12-10-1999,null,null
officer certification,null,10-19-2007,Valid,null,10-19-2007,null,null
officer certification,null,4-21-2006,Valid,null,4-21-2006,null,null
officer certification,null,4-14-2006,Valid,null,4-14-2006,null,null
officer certification,null,8-19-2022,Valid,null,8-19-2022,null,null
officer certification,null,4-17-2020,Valid,null,4-17-2020,null,null

#Record5
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,null,12-12-2014,Valid,null,12-12-2014,null,null
officer certification,null,6-14-1996,Valid,null,6-14-1996,null,null
officer certification,null,6-10-1983,Valid,null,6-10-1983,null,null
officer certification,null,4-15-2011,Valid,null,4-15-2011,null,null
officer certification,null,12-13-2002,Valid,null,12-13-2002,null,null
officer certification,null,12-05-2008,Valid,null,12-05-2008,null,null
officer certification,null,12-08-1995,Valid,null,12-08-1995,null,null
officer certification,null,11-04-2011,Valid,null,11-04-2011,null,null
officer certification,null,4-20-2018,Valid,null,4-20-2018,null,null
officer certification,null,6-29-2001,Valid,null,6-29-2001,null,null
officer certification,null,12-16-2022,Valid,null,12-16-2022,null,null
officer certification,null,4-21-2022,Valid,null,4-21-2022,null,null
officer certification,null,5-15-2020,Valid,null,5-15-2020,null,null
